Date,Time,Title,Address
31/10/2024,08:00 am,Climate change in the green world heritage site - and what we can do,Park Sanssouci - Historische Mühle
18/08/2024,09:00 am,Modigliani: Modern Gazes,Museum Barberini
28/09/2024,"",Flashdance - The Musical,Theater am Potsdamer Platz
30/11/2024,09:30 am,Dinosaurs! Age of the giant lizards,Museum für Naturkunde
23/06/2024,10:00 am,Belles Choses. Art Nouveau um 1900,Bröhan-Museum
15/06/2024,19:00 pm,HOUSE a theatre play by Amos Gitai,Haus der Berliner Festspiele
04/08/2024,10:00 am,Caspar David Friedrich - Infinite Landscapes,Alte Nationalgalerie
28/09/2025,10:00 am,Extreme Tension. Art between Politics and Society,Neue Nationalgalerie
,"",Berlin’s Tempelhof Airport turns 100,THF Tower
31/12/2026,10:00 am,Gerhard Richter: 100 Works for Berlin,Neue Nationalgalerie
Permanent exhibition,10:00 am,Ideal and Form: 19th Century Sculpture from the Nationalgalerie Collection,Friedrichswerdersche Kirche
30/05/2024,19:30 pm,Double concert Trouble Notes+Scott & Lila,Luftschloss Tempelhofer Feld
Permanent exhibition,10:00 am,Joseph Beuys,Hamburger Bahnhof - Nationalgalerie der Gegenwart
10/06/2024,10:30 am – 		18:30 pm,AFTER NATURE,"Humboldt Forum: Humboldt-Labor, 1. OG."
14/07/2024,"",Stadtbad RELOADED - The adventurous art exhibition,Stadtbad Lichtenberg
29/05/2024,10:30 am,BERLIN GLOBAL. Berlin as  part of a connected world,"Humboldt Forum: Berlin Ausstellung, 1. OG"
16/02/2025,10:30 am,Blown Away: the Palace of the Republic,Humboldt Forum – Sonderausstellungsflächen
30/06/2024,"",DeJa Vu Museum Berlin,Deja Vu Museum
31/12/2025,10:30 am,Ethnologisches Museum and Museum für Asiatische Kunst,Humboldt Forum - Ethnologisches Museum
26/01/2025,10:30 am,Loot. 10 Stories,Humboldt Forum
09/06/2024,"",„Simply the Best“,Estrel Showtheater - Estrel Berlin
29/05/2024,"",re:publica,STATION Berlin
30/05/2024,19:30 pm,FALLING | IN LOVE,Friedrichstadt-Palast
31/12/2024,"",BMW Motorrad Welt: welcome home!,BMW Motorrad Welt
30/05/2024,19:30 pm,William Forsythe,Deutsche Oper Berlin
30/05/2024,20:00 pm,human requiem,Radialsystem V
02/06/2024,"",Berlin Art Boulevard,Schloßstraße am Schloß Charlottenburg - Berlin
05/09/2024,11:00 am,Tyler Mitchell,C/O Berlin (im Amerika-Haus)
16/02/2025,11:00 am,"Berlin, Berlin. 20 Years of the Helmut Newton Foundation",Museum für Fotografie - Helmut Newton Stiftung
28/09/2024,"",FALLING | IN LOVE Grand Show,Friedrichstadt-Palast
08/06/2024,19:30 pm,Messa da Requiem,Deutsche Oper Berlin
06/10/2024,10:00 am,Andy Warhol,Neue Nationalgalerie
05/12/2024,"","Praise Be, the Nuns rock Berlin!",Theater am Potsdamer Platz
14/06/2024,16:00 pm – 		17:30 pm,Unhindered: Why are things from all over the world in Berlin? Tandem tour in simple language,Humboldt Forum - Ethnologisches Museum
15/06/2024,"",Autor:innentheatertage,Deutsches Theater Berlin
03/06/2024,20:00 pm,Der 219. Blaue Montag,Kabarett-Theater Die Wühlmäuse
23/06/2024,11:00 am,Berlin Ladies Open,Steffi-Graf-Stadion
21/06/2024,16:00 pm,Fête de la Musique 2024,Verschiedene Orte
04/08/2024,"",Caspar David Friedrich,Alte Nationalgalerie
23/06/2024,"",Jewish Film Festival 2024,Verschiedene Orte
30/06/2024,19:00 pm,48 Hours Neukölln,Neukölln
31/01/2025,"",“Sultans” the oriental dinnershow,Madi – Zelt der Sinne
30/06/2024,"",Kreuzberg-Festival,Bergmannstraße-Kreuzberg
04/07/2024,"",Berlin Fashion Week,Verschiedene Orte
05/06/2024,19:00 pm,ZEIT FORUM Nachhaltigkeit,Hackesche Höfe Filmtheater
03/11/2024,10:00 am,Frans Hals,Gemäldegalerie
13/07/2024,20:00 pm,Staatsoper für alle,Bebelplatz
02/06/2024,20:00 pm,Sibelius' Symphony No. 5 at the Philharmonie,Philharmonie Berlin
14/07/2024,"",Brandenburg Gate becomes soccer goal,Brandenburger Tor
14/07/2024,18:00 pm,Final of the 2024 European Football Championship,Olympiastadion Berlin
